year,field,name,gender
1910,Physics,Henry,
1910,Physics,Jacqus,
1910,Physics,František,
1910,Physics,Lindley,
1910,Chemistry,Paul,
1910,Chemistry,Arthur,
1910,Chemistry,Otto,
1910,Chemistry,Frederick,
1910,Chemistry,Tadasu,
1910,Physiology or Medicine,Harriette,
1910,Physiology or Medicine,Hermann,
1910,Physiology or Medicine,Joseph,
1910,Physiology or Medicine,John,
1910,Physiology or Medicine,Clara,
1910,Physiology or Medicine,Hugh,
1910,Physiology or Medicine,Clyde,
1910,Physiology or Medicine,Leonard,
1910,Physiology or Medicine,Martin,
1910,Physiology or Medicine,Yandell,
1910,Economic Sciences,Edwin,
1910,Economic Sciences,Maurice,
1910,Economic Sciences,Henry,
1910,Economic Sciences,Douglas,
1910,Economic Sciences,Edith,
1910,Economic Sciences,Achille,
1910,Economic Sciences,Jiuchi,
1910,Economic Sciences,Karl,
1910,Economic Sciences,Llewellyn,
1910,Economic Sciences,Daniel,
1911,Physics,Henry,
1911,Physics,František,
1911,Physics,OLIVER,
1911,Physics,Dawson,
1911,Physics,William,
1911,Physics,Ferdinand,
1911,Physics,Jan,
1911,Physics,David,
1911,Physics,Stéphane,
1911,Chemistry,Walter,
1911,Chemistry,Atherton,
1911,Chemistry,David,
1911,Chemistry,William,
1911,Chemistry,Richard,
1911,Chemistry,Ross,
1911,Physiology or Medicine,Sergius,
1911,Physiology or Medicine,Sutherland,
1911,Physiology or Medicine,Clara,
1911,Physiology or Medicine,CLIFFORD,
1911,Physiology or Medicine,Arthur,
1911,Physiology or Medicine,Dorothy,
1911,Physiology or Medicine,Yandell,
1911,Physiology or Medicine,Andrew,
1911,Economic Sciences,Jeannette,
1911,Economic Sciences,Andre,
1911,Economic Sciences,Hartley,
1911,Economic Sciences,Robert,
1911,Economic Sciences,Henry,
1911,Economic Sciences,Russell,
1911,Economic Sciences,Theodore,
1911,Economic Sciences,Werner,
1911,Economic Sciences,Sophy,
1911,Economic Sciences,Charles,
1912,Physics,Heber,
1912,Physics,Samuel,
1912,Physics,John,
1912,Physics,Josef,
1912,Chemistry,Graham,
1912,Chemistry,Henry,
1912,Chemistry,ALEXANDER,
1912,Chemistry,Walter,
1912,Chemistry,John,
1912,Chemistry,Rudolph,
1912,Chemistry,Frederic,
1912,Chemistry,Otto,
1912,Chemistry,Wilder,
1912,Chemistry,Charles,
1912,Physiology or Medicine,James,
1912,Physiology or Medicine,Lucy,
1912,Physiology or Medicine,Raymond,
1912,Physiology or Medicine,John,
1912,Physiology or Medicine,Hugh,
1912,Physiology or Medicine,Channing,
1912,Physiology or Medicine,Casimir,
1912,Physiology or Medicine,Wilhelm,
1912,Physiology or Medicine,Edward,
1912,Physiology or Medicine,George,
1912,Economic Sciences,Edwin,
1912,Economic Sciences,Douglas,
1912,Economic Sciences,Harold,
1912,Economic Sciences,Giuseppe,
1912,Economic Sciences,Angelo,
1912,Economic Sciences,Gaston,
1912,Economic Sciences,Bruno,
1912,Economic Sciences,Sigmund,
1912,Economic Sciences,Josephine,
1912,Economic Sciences,Dorothy,
1913,Physics,Hans,
1913,Physics,Herbert,
1913,Physics,Adele,
1913,Physics,JOHN,
1913,Physics,James,
1913,Chemistry,Lewis,
1913,Chemistry,Paul,
1913,Chemistry,Isidor,
1913,Chemistry,Samuel,
1913,Chemistry,Emil,
1913,Chemistry,Jacques,
1913,Chemistry,Hardolph,
1913,Chemistry,Otto,
1913,Chemistry,Atherton,
1913,Chemistry,George,
1913,Physiology or Medicine,Priestley,
1913,Physiology or Medicine,Henry,
1913,Physiology or Medicine,Douglas,
1913,Physiology or Medicine,Ida,
1913,Physiology or Medicine,Hugh,
1913,Physiology or Medicine,Albert,
1913,Physiology or Medicine,Casimir,
1913,Physiology or Medicine,Leonard,
1913,Physiology or Medicine,Thomson,
1913,Physiology or Medicine,Yandell,
1913,Economic Sciences,Max,
1913,Economic Sciences,Barthelemy,
1913,Economic Sciences,Etienne,
1913,Economic Sciences,Louis,
1913,Economic Sciences,Achille,
1913,Economic Sciences,Knut,
1913,Economic Sciences,Roper,
1913,Economic Sciences,Norman,
1913,Economic Sciences,David,
1913,Economic Sciences,Josef,
1914,Physics,Edwin,
1914,Physics,WILLIAM,
1914,Physics,Henry,
1914,Physics,FREDERICK,
1914,Physics,OLIVER,
1914,Physics,Dawson,
1914,Physics,Sidney,
1914,Physics,Carl,
1914,Chemistry,Louis,
1914,Chemistry,Paul,
1914,Chemistry,Isidor,
1914,Chemistry,Leo,
1914,Chemistry,William,
1914,Chemistry,Miguel,
1914,Chemistry,Gaston,
1914,Chemistry,Frederic,
1914,Chemistry,Otto,
1914,Chemistry,Andrew,
1914,Physiology or Medicine,Henry,
1914,Physiology or Medicine,Joseph,
1914,Physiology or Medicine,Hyla,
1914,Physiology or Medicine,Torald,
1914,Physiology or Medicine,Harold,
1914,Physiology or Medicine,John,
1914,Physiology or Medicine,Percy,
1914,Physiology or Medicine,Mackenzie,
1914,Physiology or Medicine,Casimir,
1914,Physiology or Medicine,Yandell,
1914,Economic Sciences,Edwin,
1914,Economic Sciences,Hartley,
1914,Economic Sciences,Gerhart,
1914,Economic Sciences,Israel,
1914,Economic Sciences,Werner,
1914,Economic Sciences,Frederic,
1914,Economic Sciences,Luigi,
1914,Economic Sciences,Karl,
1914,Economic Sciences,Marcel-Maurice,
1914,Economic Sciences,Guido,
1915,Physics,Henry,
1915,Physics,John,
1915,Physics,CLEVELAND,
1915,Physics,Lucius,
1915,Physics,Ludwig,
1915,Physics,Ernst,
1915,Chemistry,Louis,
1915,Chemistry,Thornton,
1915,Chemistry,Paul,
1915,Chemistry,Leo,
1915,Chemistry,Marguerite,
1915,Chemistry,Michael,
1915,Chemistry,Casimir,
1915,Chemistry,Mariam,
1915,Chemistry,Annie,
1915,Chemistry,Edgard,
1915,Physiology or Medicine,Toyojiro,
1915,Physiology or Medicine,WILLIAM,
1915,Physiology or Medicine,Douglas,
1915,Physiology or Medicine,Alexander,
1915,Physiology or Medicine,William,
1915,Physiology or Medicine,John,
1915,Physiology or Medicine,Yandell,
1915,Physiology or Medicine,Seizaburo,
1915,Physiology or Medicine,Yas,
1915,Physiology or Medicine,Alan,
1915,Economic Sciences,Lilian,
1915,Economic Sciences,Douglas,
1915,Economic Sciences,Mary,
1915,Economic Sciences,Russell,
1915,Economic Sciences,Thomas,
1915,Economic Sciences,Samuel,
1915,Economic Sciences,Mario,
1915,Economic Sciences,David,
1915,Economic Sciences,Eugen,
1915,Economic Sciences,Irving,
1916,Physics,Lewis,
1916,Physics,Henry,
1916,Chemistry,Katharine,
1916,Chemistry,Louis,
1916,Chemistry,Frank,
1916,Chemistry,Walter,
1916,Chemistry,Warren,
1916,Chemistry,Hiizu,
1916,Chemistry,Alma,
1916,Chemistry,Jacques,
1916,Chemistry,Thorsten,
1916,Chemistry,Cornelia,
1916,Physiology or Medicine,Edmund,
1916,Physiology or Medicine,McKeen,
1916,Physiology or Medicine,Henry,
1916,Physiology or Medicine,Russell,
1916,Physiology or Medicine,Raymond,
1916,Physiology or Medicine,Jay,
1916,Physiology or Medicine,Homer,
1916,Physiology or Medicine,Oscar,
1916,Physiology or Medicine,Heinrich,
1916,Physiology or Medicine,George,
1916,Economic Sciences,Lilian,
1916,Economic Sciences,Peter,
1916,Economic Sciences,Paul,
1916,Economic Sciences,Gustav,
1916,Economic Sciences,Laurence,
1916,Economic Sciences,Willougby,
1916,Economic Sciences,Semen,
1916,Economic Sciences,Sidney,
1916,Economic Sciences,Georges,
1916,Economic Sciences,Mary,
1917,Chemistry,Olaf,
1917,Chemistry,Louise,
1917,Chemistry,Henry,
1917,Chemistry,Joseph,
1917,Chemistry,Barnett,
1917,Chemistry,Reginald,
1917,Chemistry,Thomas,
1917,Chemistry,Andrew,
1917,Chemistry,Ralph,
1917,Chemistry,Shigenobu,
1917,Physiology or Medicine,Sergius,
1917,Physiology or Medicine,Irwin,
1917,Physiology or Medicine,Meyer,
1917,Physiology or Medicine,Jacob,
1917,Physiology or Medicine,Lois,
1917,Physiology or Medicine,Stanley,
1917,Physiology or Medicine,Masaharu,
1917,Physiology or Medicine,Hovey,
1917,Physiology or Medicine,Keith,
1917,Physiology or Medicine,Shigenobu,
1917,Economic Sciences,James,
1917,Economic Sciences,Henry,
1917,Economic Sciences,Alfred,
1917,Economic Sciences,Lionel,
1917,Economic Sciences,Viscount,
1917,Economic Sciences,Arthur,
1917,Economic Sciences,Tenny,
1917,Economic Sciences,MORRIS,
1917,Economic Sciences,Charles,
1917,Economic Sciences,Chase,
1918,Chemistry,Isidor,
1918,Chemistry,Svend,
1918,Chemistry,Kanematsu,
1918,Chemistry,Emil,
1918,Chemistry,Jacques,
1918,Chemistry,Shinkishi,
1918,Chemistry,Harry,
1918,Chemistry,Thomas,
1918,Chemistry,Edward,
1918,Chemistry,Yandell,
1918,Physiology or Medicine,Esther,
1918,Physiology or Medicine,Lois,
1918,Physiology or Medicine,Selig,
1918,Physiology or Medicine,George,
1918,Physiology or Medicine,JACOB,
1918,Physiology or Medicine,LUIGI,
1918,Physiology or Medicine,Marian,
1918,Physiology or Medicine,Reid,
1918,Physiology or Medicine,Margaret,
1918,Physiology or Medicine,Charles,
1918,Economic Sciences,Edwin,
1918,Economic Sciences,Henry,
1918,Economic Sciences,Frank,
1918,Economic Sciences,Robert,
1918,Economic Sciences,Arnold,
1918,Economic Sciences,William,
1918,Economic Sciences,HUGH,
1918,Economic Sciences,OSKAR,
1918,Economic Sciences,Barbara,
1919,Physics,KOTARO,
1919,Physics,Marshall,
1919,Physics,Albert,
1919,Chemistry,Takeo,
1919,Chemistry,Doko,
1919,Chemistry,Kanematsu,
1919,Chemistry,Midori,
1919,Chemistry,Edgar,
1919,Chemistry,Grace,
1919,Chemistry,Frederic,
1919,Chemistry,Otto,
1919,Chemistry,Aaron,
1919,Chemistry,Mary,
1919,Physiology or Medicine,Olaf,
1919,Physiology or Medicine,Kambe,
1919,Physiology or Medicine,Douglas,
1919,Physiology or Medicine,Joseph,
1919,Physiology or Medicine,Rinnosuke,
1919,Physiology or Medicine,Oscar,
1919,Physiology or Medicine,Jacques,
1919,Physiology or Medicine,Hazime,
1919,Physiology or Medicine,Eduard,
1919,Physiology or Medicine,Kowsaku,
1919,Economic Sciences,Lilian,
1919,Economic Sciences,Henry,
1919,Economic Sciences,André,
1919,Economic Sciences,Waldemar,
1919,Economic Sciences,Mark,
1919,Economic Sciences,William,
1919,Economic Sciences,Giuseppe,
1919,Economic Sciences,Edward,
1919,Economic Sciences,Lord,
1919,Economic Sciences,Garton,
1920,Physics,Minnie,
1920,Physics,Anders,
1920,Chemistry,Edith,
1920,Chemistry,Barnett,
1920,Chemistry,George,
1920,Chemistry,Alice,
1920,Chemistry,Masumi,
1920,Chemistry,Yajiro,
1920,Chemistry,Nicholas,
1920,Chemistry,Ella,
1920,Chemistry,Lillian,
1920,Chemistry,Yandell,
1920,Physiology or Medicine,Rutherford,
1920,Physiology or Medicine,Yoshio,
1920,Physiology or Medicine,Alexander,
1920,Physiology or Medicine,Charles,
1920,Physiology or Medicine,Sakyo,
1920,Physiology or Medicine,Catharine,
1920,Physiology or Medicine,Marian,
1920,Physiology or Medicine,Jacques,
1920,Physiology or Medicine,Eduard,
1920,Physiology or Medicine,Riichiro,
1920,Economic Sciences,Barbara,
1920,Economic Sciences,Louis,
1920,Economic Sciences,Laurent,
1920,Economic Sciences,Henry,
1920,Economic Sciences,Erik,
1920,Economic Sciences,Lionel,
1920,Economic Sciences,Leonard,
1920,Economic Sciences,Karl,
1920,Economic Sciences,Victor,
1920,Economic Sciences,Gabriel,
1921,Physics,GEORGE,
1921,Physics,Louis,
1921,Physics,Alfred,
1921,Physics,Henry,
1921,Physics,Robert,
1921,Physics,Alexander,
1921,Physics,OLIVER,
1921,Physics,The,
1921,Physics,HAROLD,
1921,Physics,Morton,
1921,Chemistry,Millard,
1921,Chemistry,Benjamin,
1921,Chemistry,Alfred,
1921,Chemistry,Paul,
1921,Chemistry,Erma,
1921,Chemistry,Bernice,
1921,Chemistry,Ella,
1921,Chemistry,Grace,
1921,Chemistry,Frederic,
1921,Chemistry,Mary,
1921,Physiology or Medicine,Genevieve,
1921,Physiology or Medicine,Sergius,
1921,Physiology or Medicine,Hiromu,
1921,Physiology or Medicine,Knight,
1921,Physiology or Medicine,Hugh,
1921,Physiology or Medicine,Yutaka,
1921,Physiology or Medicine,Rinaldo,
1921,Physiology or Medicine,Arthur,
1921,Physiology or Medicine,Genko,
1921,Physiology or Medicine,Fred,
1921,Economic Sciences,Graham,
1921,Economic Sciences,Alfred,
1921,Economic Sciences,Tenney,
1921,Economic Sciences,Francisco,
1921,Economic Sciences,Achille,
1921,Economic Sciences,Hugh,
1921,Economic Sciences,Abdur,
1921,Economic Sciences,Norman,
1921,Economic Sciences,Adolf,
1921,Economic Sciences,George,
1922,Physics,Louis,
1922,Physics,John,
1922,Physics,Theodore,
1922,Physics,Charles,
1922,Physics,Samuel,
1922,Physics,Carl,
1922,Physics,Norbert,
1922,Physics,Shirley,
1922,Physics,Morton,
1922,Physics,George,
1922,Chemistry,Lester,
1922,Chemistry,Nina,
1922,Chemistry,Leo,
1922,Chemistry,Sotaro,
1922,Chemistry,Irene,
1922,Chemistry,Lucius,
1922,Chemistry,Michael,
1922,Chemistry,Grace,
1922,Chemistry,Otto,
1922,Chemistry,Hilding,
1922,Physiology or Medicine,Addison,
1922,Physiology or Medicine,Zalia,
1922,Physiology or Medicine,Joseph,
1922,Physiology or Medicine,Alexander,
1922,Physiology or Medicine,Samuel,
1922,Physiology or Medicine,Leah,
1922,Physiology or Medicine,Homer,
1922,Physiology or Medicine,Winifred,
1922,Physiology or Medicine,Eduard,
1922,Physiology or Medicine,Lloyd,
1922,Economic Sciences,Gilbert,
1922,Economic Sciences,Edwin,
1922,Economic Sciences,Roger,
1922,Economic Sciences,Alfred,
1922,Economic Sciences,Gustav,
1922,Economic Sciences,Carlo,
1922,Economic Sciences,Piero,
1922,Economic Sciences,Christopher,
1922,Economic Sciences,Reginald,
1922,Economic Sciences,George,
1923,Physics,Oswald,
1923,Physics,Vernon,
1923,Physics,Alfred,
1923,Physics,Joseph,
1923,Physics,Paul,
1923,Physics,Ione,
1923,Physics,Henry,
1923,Physics,William,
1923,Physics,Dawson,
1923,Physics,George,
1923,Chemistry,Benjamin,
1923,Chemistry,Gail,
1923,Chemistry,Glen,
1923,Chemistry,Walter,
1923,Chemistry,Kanematsu,
1923,Chemistry,Emil,
1923,Chemistry,Laura,
1923,Chemistry,Julia,
1923,Chemistry,Elizabeth,
1923,Chemistry,Graham,
1923,Physiology or Medicine,Ruth,
1923,Physiology or Medicine,Meyer,
1923,Physiology or Medicine,Joseph,
1923,Physiology or Medicine,Henry,
1923,Physiology or Medicine,Sybil,
1923,Physiology or Medicine,William,
1923,Physiology or Medicine,Margaret,
1923,Physiology or Medicine,Nathaniel,
1923,Physiology or Medicine,Dorothy,
1923,Physiology or Medicine,Charles,
1923,Economic Sciences,Henry,
1923,Economic Sciences,Alfred,
1923,Economic Sciences,Waldemar,
1923,Economic Sciences,Harold,
1923,Economic Sciences,Diarmid,
1923,Economic Sciences,Jean,
1923,Economic Sciences,Hugh,
1923,Economic Sciences,Stanley,
1923,Economic Sciences,Leonard,
1923,Economic Sciences,David,
1924,Physics,Oswald,
1924,Physics,Clifford,
1924,Physics,Anders,
1924,Physics,Paul,
1924,Physics,Joseph,
1924,Physics,Ernest,
1924,Physics,JAROSALAV,
1924,Physics,Norbert,
1924,Physics,Richard,
1924,Physics,JAROSLAV,
1924,Chemistry,Joseph,
1924,Chemistry,Robert,
1924,Chemistry,Oskar,
1924,Chemistry,Isidor,
1924,Chemistry,Barnett,
1924,Chemistry,William,
1924,Chemistry,Evenden,
1924,Chemistry,Christen,
1924,Chemistry,Karl,
1924,Chemistry,David,
1924,Physiology or Medicine,Arie,
1924,Physiology or Medicine,Joseph,
1924,Physiology or Medicine,Alexis,
1924,Physiology or Medicine,Selig,
1924,Physiology or Medicine,Baldwin,
1924,Physiology or Medicine,Helen,
1924,Physiology or Medicine,Oscar,
1924,Physiology or Medicine,Thomas,
1924,Physiology or Medicine,Morton,
1924,Economic Sciences,Max,
1924,Economic Sciences,Robert,
1924,Economic Sciences,Eugene,
1924,Economic Sciences,Walter,
1924,Economic Sciences,Julius,
1924,Economic Sciences,Franz,
1924,Economic Sciences,William,
1924,Economic Sciences,Karl,
1924,Economic Sciences,Richard,
1924,Economic Sciences,Dorothy,
1925,Physics,Clifford,
1925,Physics,Henry,
1925,Physics,Herbert,
1925,Physics,William,
1925,Physics,Ludwik,
1925,Physics,Norbert,
1925,Physics,Otto,
1925,Physics,Richard,
1925,Physics,Charles,
1925,Physics,Philip,
1925,Chemistry,Marta,
1925,Chemistry,Barnett,
1925,Chemistry,Oskar,
1925,Chemistry,Christen,
1925,Chemistry,Elsie,
1925,Chemistry,Helen,
1925,Chemistry,Mattie,
1925,Chemistry,Erwin,
1925,Chemistry,David,
1925,Chemistry,Marion,
1925,Physiology or Medicine,Ejler,
1925,Physiology or Medicine,Wilfred,
1925,Physiology or Medicine,Henry,
1925,Physiology or Medicine,Robert,
1925,Physiology or Medicine,William,
1925,Physiology or Medicine,Theodore,
1925,Physiology or Medicine,Oscar,
1925,Physiology or Medicine,Eloise,
1925,Physiology or Medicine,Frederick,
1925,Physiology or Medicine,Carney,
1925,Economic Sciences,Olof,
1925,Economic Sciences,Alfred,
1925,Economic Sciences,William,
1925,Economic Sciences,Elie,
1925,Economic Sciences,Albert,
1925,Economic Sciences,Barbara,
1925,Economic Sciences,Richard,
1925,Economic Sciences,Lord,
1925,Economic Sciences,Lujo,
1925,Economic Sciences,Charles,
1926,Physics,Max,
1926,Physics,Zdeněk,
1926,Physics,William,
1926,Physics,Harold,
1926,Physics,Nicolas,
1926,Physics,Wilhelm,
1926,Physics,Norbert,
1926,Physics,Hallie,
1926,Physics,Eustace,
1926,Physics,Philip,
1926,Chemistry,Katharine,
1926,Chemistry,Olaf,
1926,Chemistry,Alfred,
1926,Chemistry,Alexander,
1926,Chemistry,Barnett,
1926,Chemistry,Christen,
1926,Chemistry,Hardee,
1926,Chemistry,Samuel,
1926,Chemistry,Laura,
1926,Chemistry,Jennie,
1926,Physiology or Medicine,Robert,
1926,Physiology or Medicine,William,
1926,Physiology or Medicine,Albin,
1926,Physiology or Medicine,Geneva,
1926,Physiology or Medicine,Charlotte,
1926,Physiology or Medicine,Narciso,
1926,Physiology or Medicine,Yngve,
1926,Physiology or Medicine,Cornelia,
1926,Physiology or Medicine,Marion,
1926,Physiology or Medicine,Dorothy,
1926,Economic Sciences,Frieda,
1926,Economic Sciences,Henry,
1926,Economic Sciences,Watson,
1926,Economic Sciences,Herbert,
1926,Economic Sciences,Arnold,
1926,Economic Sciences,Jakob,
1926,Economic Sciences,Emil,
1926,Economic Sciences,Theodor,
1926,Economic Sciences,Karl,
1926,Economic Sciences,Richard,
1927,Physics,Wilmer,
1927,Physics,Hans,
1927,Physics,Walter,
1927,Physics,William,
1927,Physics,EZER,
1927,Physics,Norbert,
1927,Physics,James,
1927,Physics,Kurt,
1927,Physics,George,
1927,Physics,Philip,
1927,Chemistry,Isidor,
1927,Chemistry,Elsie,
1927,Chemistry,Melville,
1927,Chemistry,Laura,
1927,Chemistry,Frederic,
1927,Chemistry,Isaac,
1927,Chemistry,Harry,
1927,Chemistry,Elizabeth,
1927,Chemistry,George,
1927,Chemistry,Vincent,
1927,Physiology or Medicine,Olive,
1927,Physiology or Medicine,Sybil,
1927,Physiology or Medicine,Vladimir,
1927,Physiology or Medicine,Charles,
1927,Physiology or Medicine,Maude,
1927,Physiology or Medicine,Frederick,
1927,Physiology or Medicine,Edward,
1927,Physiology or Medicine,Dorothy,
1927,Physiology or Medicine,Yandell,
1927,Physiology or Medicine,Ellen,
1927,Economic Sciences,Louis,
1927,Economic Sciences,Edwin,
1927,Economic Sciences,Alfred,
1927,Economic Sciences,Hermann,
1927,Economic Sciences,Hugo,
1927,Economic Sciences,Felix,
